department_code,department,municipality_code,municipality
05,ANTIOQUIA,05147,CAREPA
05,ANTIOQUIA,05480,MUTAT
05,ANTIOQUIA,05642,SALGAR
05,ANTIOQUIA,05656,SAN JERNIMO
05,ANTIOQUIA,05129,CALDAS
05,ANTIOQUIA,05761,SOPETRN
05,ANTIOQUIA,05002,ABEJORRAL
05,ANTIOQUIA,05209,CONCORDIA
05,ANTIOQUIA,05659,SAN JUAN DE URAB
05,ANTIOQUIA,05310,GMEZ PLATA
05,ANTIOQUIA,05148,CARMEN DE VIBORAL
05,ANTIOQUIA,05145,CARAMANTA
05,ANTIOQUIA,05756,SONSN
05,ANTIOQUIA,05856,VALPARASO
05,ANTIOQUIA,05809,TITIRIB
05,ANTIOQUIA,05376,LA CEJA
05,ANTIOQUIA,05628,SABANALARGA
05,ANTIOQUIA,05854,VALDIVIA
05,ANTIOQUIA,05206,CONCEPCIN
05,ANTIOQUIA,05670,SAN ROQUE
05,ANTIOQUIA,05113,BURITIC
05,ANTIOQUIA,05390,LA PINTADA
05,ANTIOQUIA,05579,PUERTO BERRO
05,ANTIOQUIA,05021,ALEJANDRA
05,ANTIOQUIA,05873,VIGA DEL FUERTE
05,ANTIOQUIA,05858,VEGACH
05,ANTIOQUIA,05134,CAMPAMENTO
05,ANTIOQUIA,05001,MEDELLN
05,ANTIOQUIA,05647,SAN ANDRS
05,ANTIOQUIA,05042,SANTA FE DE ANTIOQUIA
05,ANTIOQUIA,05101,CIUDAD BOLVAR
05,ANTIOQUIA,05212,COPACABANA
05,ANTIOQUIA,05266,ENVIGADO
05,ANTIOQUIA,05543,PEQUE
05,ANTIOQUIA,05607,RETIRO
05,ANTIOQUIA,05890,YOLOMB
05,ANTIOQUIA,05736,SEGOVIA
05,ANTIOQUIA,05541,PEOL
05,ANTIOQUIA,05652,SAN FRANCISCO
05,ANTIOQUIA,05045,APARTAD
05,ANTIOQUIA,05861,VENECIA
05,ANTIOQUIA,05895,ZARAGOZA
05,ANTIOQUIA,05440,MARINILLA
05,ANTIOQUIA,05107,BRICEO
05,ANTIOQUIA,05847,URRAO
05,ANTIOQUIA,05088,BELLO
05,ANTIOQUIA,05125,CAICEDO
05,ANTIOQUIA,05649,SAN CARLOS
05,ANTIOQUIA,05120,CCERES
05,ANTIOQUIA,05315,GUADALUPE
05,ANTIOQUIA,05284,FRONTINO
05,ANTIOQUIA,05240,EBJICO
